From,To,Town,Super (PMS),Diesel (AGO),Kerosene (IK),date_from,date_to,location
15-12-2025,14-01-2026,Meru,189.51,176.45,159.75,2025-12-15,2026-01-14,Meru
15-12-2025,14-01-2026,Laisamis,192.88,179.83,163.13,2025-12-15,2026-01-14,Laisamis
15-12-2025,14-01-2026,Kapsowar,184.89,172.19,155.54,2025-12-15,2026-01-14,Kapsowar
15-12-2025,14-01-2026,Kiwawa,187.48,174.79,158.14,2025-12-15,2026-01-14,Kiwawa
15-12-2025,14-01-2026,Chepkorniswo,185.81,173.11,156.46,2025-12-15,2026-01-14,Chepkorniswo
15-12-2025,14-01-2026,Awasi,183.94,171.25,154.6,2025-12-15,2026-01-14,Awasi
15-12-2025,14-01-2026,Nyeri,186.53,173.48,156.78,2025-12-15,2026-01-14,Nyeri
15-12-2025,14-01-2026,Lamuria,187.29,174.24,157.54,2025-12-15,2026-01-14,Lamuria
15-12-2025,14-01-2026,Kapsabet,184.03,171.34,154.7,2025-12-15,2026-01-14,Kapsabet
15-12-2025,14-01-2026,Soy,184.01,171.32,154.67,2025-12-15,2026-01-14,Soy
15-12-2025,14-01-2026,Kapese,189.45,176.76,160.1,2025-12-15,2026-01-14,Kapese
15-12-2025,14-01-2026,Etago,186.52,173.83,157.17,2025-12-15,2026-01-14,Etago
15-12-2025,14-01-2026,Ikonge,184.64,171.95,155.29,2025-12-15,2026-01-14,Ikonge
15-12-2025,14-01-2026,Thika,184.16,171.11,154.42,2025-12-15,2026-01-14,Thika
15-12-2025,14-01-2026,Mandera,206.7,193.65,176.96,2025-12-15,2026-01-14,Mandera
15-12-2025,14-01-2026,Kabarnet,185.3,172.61,155.95,2025-12-15,2026-01-14,Kabarnet
15-12-2025,14-01-2026,Kakuma,193.99,181.3,164.65,2025-12-15,2026-01-14,Kakuma
15-12-2025,14-01-2026,Serem,184.95,172.26,155.61,2025-12-15,2026-01-14,Serem
15-12-2025,14-01-2026,Keroka,185.55,172.86,156.2,2025-12-15,2026-01-14,Keroka
15-12-2025,14-01-2026,SioPort,185.48,172.79,156.14,2025-12-15,2026-01-14,SioPort
15-12-2025,14-01-2026,Minjila,184.79,171.74,155.05,2025-12-15,2026-01-14,Minjila
15-12-2025,14-01-2026,Liboi,196.14,183.09,166.4,2025-12-15,2026-01-14,Liboi
15-12-2025,14-01-2026,Mogotio,183.11,170.41,153.76,2025-12-15,2026-01-14,Mogotio
15-12-2025,14-01-2026,Kaiboi,184.1,171.41,154.75,2025-12-15,2026-01-14,Kaiboi
15-12-2025,14-01-2026,Eldama Ravine,185.45,172.75,156.1,2025-12-15,2026-01-14,Eldama Ravine
15-12-2025,14-01-2026,Oyugis,185.02,172.33,155.67,2025-12-15,2026-01-14,Oyugis
15-12-2025,14-01-2026,Harambee,184.08,171.38,154.73,2025-12-15,2026-01-14,Harambee
15-12-2025,14-01-2026,Likoni Mainland,181.62,168.57,151.88,2025-12-15,2026-01-14,Likoni Mainland
15-12-2025,14-01-2026,Mwingi,187.47,174.42,157.72,2025-12-15,2026-01-14,Mwingi
